REVENUE,CROSS_SELL_SUCCESS,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED
393.00,1,14.00,6.00,12.00,10.00,48.00,1.00,3.00,1.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,33.40,1.00,0.00,1.00,17.00,0.00
1365.00,1,87.00,3.00,8.00,8.00,40.35,1.00,0.00,0.00,1.00,5.00,1.00,12.00,0.00,2.00,0.00,0.00,84.80,1.00,0.00,3.00,13.00,170.00
800.00,1,15.00,7.00,11.00,5.00,19.77,1.00,3.00,0.00,1.00,6.00,1.00,1.00,0.00,1.00,0.00,0.00,63.00,1.00,0.00,2.00,16.00,0.00
600.00,1,13.00,6.00,11.00,5.00,90.00,1.00,2.00,0.00,1.00,6.00,1.00,14.00,0.00,3.00,0.00,0.00,43.80,1.00,0.00,2.00,14.00,0.00
1490.00,1,47.00,8.00,6.00,10.00,40.38,1.00,0.00,0.00,0.00,5.00,1.00,5.00,0.00,8.00,0.00,0.00,84.80,1.00,1.00,3.00,12.00,205.00
1550.00,1,36.00,2.00,9.00,1.00,190.18,1.00,4.00,0.00,1.00,4.00,1.00,0.00,0.00,3.00,1.00,0.00,78.80,1.00,1.00,3.00,12.00,0.00
1430.00,1,61.00,7.00,6.00,2.00,154.20,1.00,1.00,0.00,1.00,6.00,1.00,45.00,1.00,2.00,1.00,1.00,84.80,1.00,0.00,3.00,12.00,169.00
1321.25,1,13.00,1.00,12.00,3.00,228.73,1.00,0.00,0.00,1.00,6.00,1.00,13.00,0.00,0.00,0.00,0.00,63.00,1.00,0.00,1.00,15.00,0.00
1505.00,1,16.00,1.00,12.00,5.00,14.26,1.00,0.00,0.00,1.00,6.00,1.00,52.00,0.00,1.00,0.00,0.00,63.00,1.00,0.00,2.00,18.00,0.00
1493.00,0,95.00,3.00,6.00,8.00,49.26,1.00,0.00,0.00,0.00,6.00,1.00,12.00,0.00,2.00,1.00,0.00,84.80,1.00,1.00,3.00,14.00,147.00
1410.00,0,35.00,8.00,5.00,10.00,46.26,1.00,0.00,0.00,0.00,6.00,1.00,19.00,4.00,4.00,1.00,0.00,84.80,1.00,1.00,3.00,13.00,147.00
3325.00,0,72.00,1.00,7.00,2.00,34.00,1.00,1.00,0.00,1.00,6.00,1.00,48.00,0.00,4.00,1.00,1.00,168.00,1.00,0.00,3.00,12.00,0.00
810.00,0,13.00,3.00,12.00,9.00,20.90,1.00,0.00,0.00,0.00,7.00,2.00,26.00,0.00,5.00,0.00,0.00,63.00,1.00,0.00,1.00,19.00,0.00
1450.00,0,76.00,3.00,5.00,8.00,40.26,1.00,0.00,1.00,0.00,5.00,1.00,9.00,4.00,5.00,0.00,0.00,84.80,1.00,0.00,3.00,14.00,205.00
1000.00,0,14.00,3.00,12.00,4.00,95.77,1.00,0.00,0.00,1.00,6.00,2.00,6.00,0.00,5.00,0.00,0.00,81.60,1.00,1.00,2.00,17.00,0.00
465.00,0,12.00,5.00,11.00,7.00,80.11,1.00,1.00,0.00,1.00,6.00,1.00,35.00,0.00,7.00,1.00,0.00,40.70,1.00,0.00,2.00,17.00,0.00
899.00,0,15.00,4.00,12.00,6.00,97.22,1.00,0.00,0.00,0.00,6.00,2.00,52.00,4.00,3.00,0.00,0.00,86.90,1.00,0.00,2.00,17.00,0.00
1425.00,1,50.00,5.00,7.00,8.00,26.04,1.00,2.00,0.00,0.00,5.00,1.00,13.00,0.00,3.00,0.00,0.00,105.50,2.00,0.00,2.00,18.00,0.00
1275.00,1,31.00,7.00,6.00,1.00,231.30,1.00,2.00,0.00,1.00,5.00,2.00,0.00,0.00,3.00,0.00,0.00,106.90,2.00,1.00,3.00,14.00,0.00
1999.00,1,127.00,6.00,6.00,9.00,41.74,1.00,4.00,0.00,1.00,6.00,1.00,23.00,0.00,2.00,0.00,0.00,124.10,2.00,0.00,3.00,14.00,0.00
2012.50,1,67.00,1.00,4.00,8.00,31.00,1.00,2.00,0.00,1.00,6.00,2.00,6.00,9.00,2.00,0.00,0.00,130.40,2.00,1.00,2.00,16.00,0.00
2616.25,1,64.00,1.00,7.00,1.00,49.00,1.00,1.00,0.00,1.00,6.00,1.00,17.00,0.00,0.00,0.00,0.00,120.00,2.00,0.00,3.00,15.00,0.00
1280.00,1,100.00,7.00,4.00,9.00,169.99,1.00,0.00,0.00,0.00,4.00,1.00,12.00,0.00,1.00,0.00,0.00,91.40,2.00,0.00,2.00,17.00,0.00
1210.00,1,46.00,3.00,6.00,4.00,90.54,1.00,2.00,1.00,0.00,6.00,2.00,5.00,3.00,2.00,0.00,0.00,95.20,2.00,1.00,2.00,17.00,0.00
2115.00,1,135.00,9.00,7.00,2.00,35.82,1.00,4.00,0.00,0.00,5.00,1.00,0.00,1.00,1.00,0.00,0.00,122.60,2.00,2.00,3.00,12.00,0.00
600.00,1,12.00,2.00,11.00,4.00,54.20,1.00,2.00,0.00,1.00,6.00,2.00,4.00,2.00,2.00,1.00,0.00,80.00,2.00,1.00,1.00,18.00,0.00
1260.00,1,35.00,5.00,4.00,1.00,85.00,1.00,0.00,0.00,1.00,5.00,2.00,1.00,0.00,2.00,0.00,0.00,88.20,2.00,0.00,3.00,12.00,0.00
800.00,1,14.00,6.00,12.00,2.00,47.08,1.00,0.00,0.00,1.00,5.00,1.00,10.00,3.00,6.00,0.00,0.00,74.70,2.00,0.00,2.00,17.00,0.00
1660.75,1,15.00,1.00,11.00,10.00,17.96,1.00,5.00,0.00,0.00,6.00,1.00,5.00,3.00,2.00,1.00,0.00,98.80,2.00,1.00,2.00,16.00,0.00
1800.00,1,138.00,5.00,8.00,2.00,31.98,1.00,4.00,1.00,1.00,7.00,0.00,12.00,6.00,3.00,1.00,0.00,151.20,2.00,0.00,3.00,12.00,513.00
850.00,1,13.00,4.00,11.00,10.00,83.77,1.00,0.00,0.00,1.00,6.00,2.00,6.00,0.00,0.00,1.00,0.00,79.60,2.00,0.00,1.00,19.00,0.00
930.00,1,14.00,8.00,11.00,3.00,59.00,1.00,5.00,0.00,0.00,5.00,2.00,0.00,3.00,1.00,1.00,1.00,93.60,2.00,0.00,3.00,14.00,0.00
